,0
194,Hey Hi Luke Add more videos I like your explanation and you are doing nice work.
195,"Very cool - i actually wanted to download my connections skills for a data science project, but got too busy with work  . . . but i would realy only need a 1-time download, i think?  idk, thanks for reminding me of this project idea anyways!"
196,Thts amazing.  Motivates me to do the same
197,You look like the brother of Kalle Hallden
198,How much time do you put into these projects including the googling and the learning?
199,Once i used to slow down abit  the script so that i could avoid recapcha
200,"Some very interesting points around click wraps, etc... Keen to see where you take this one."
201,I was actually thinking about doing something similar earlier this year and was excited to see that LinkedIn had an API!  Now it&#39;s been too long and they got rid of it which makes me disappointed.  They made that change just this year.
202,Do you have a WhatsApp bot?
203,How can I contact you if I want you to <br>A bot for me?
204,"Funny coincidence… last semester during a project i was also scraping job data for jobs with the search terms: data governance, data culture etc. and i encountered exactly the same issue. Now this video pops up :D"
205,Is there any site other than google to get a free data analysis course from with certificate ?
206,This is a great followup to the earlier video. I&#39;d hoped when you posted the previous video you would follow up with information on ethically dealing with the TOS limitations on various sites.  Looking forward to further followup.
207,Dude you look like DR house
208,but I still dont know how LinkedIn discovered that you use scraper. maybe you access too frequently ? scroll too fast? or your access is python request?
209,"The data is publicly available without logging in to LinkedIn. However I noticed certain filter fields like easy apply, and experience level and unavailable."
210,that was the coolest thing i have ever seen
211,I saw an &quot;entry level&quot; data analyst job that required 6-8 years experience!
212,"Thanks for sharing Luke, I am also building my internet scraper to gather house data, hope I do not run into similar banning issues!! 🤞"
213,"Have you heard of (or even used) this new feature on LinkedIn?<br><a href=""https://www.linkedin.com/services"">https://www.linkedin.com/services</a>"
214,"Could you do a follow up on how to market pricing? I’ve been interested in getting into this on the side, but have always been unsure on pricing depending on the various factors/requirements. Thanks!"
215,Congratulations on the subs man. Been here for a long time. Can’t wait to watch you explode.
216,Holy MOLY. <br><br>Competition… oh man… gotta work hard.
217,Made it to 100k subs!!!!! Congrats! That’s a pretty hefty group of subs!
218,I can&#39;t see this option in my linkedin app
